       200		    15,356		0,05		     0,045
       100		    16,191		0,10		     0,091
        66		    17,234		0,15		     0,134
        50		    18,562		0,20		     0,178
        40		    19,982		0,25		     0,226
        33		    21,115		0,30		     0,274
        28		    22,256		0,35		     0,313
        25		    24,348		0,40		     0,351
        22		    26,125		0,45		     0,406
        20		    27,487		0,50		     0,439
        18		    30,577		0,55		     0,477
        16		    33,882		0,60		     0,537
        15		    36,598		0,65		     0,585
        14		    38,500		0,70		     0,604
        13		    44,707		0,75		     0,653
        12		    52,192		0,80		     0,692
        11		    52,643		0,85		     0,724
        11		    54,935		0,90		     0,727
        10		    64,224		0,95		     0,763
