       200		    15,265		0,05		     0,044
       100		    16,317		0,10		     0,092
        66		    17,317		0,15		     0,136
        50		    18,382		0,20		     0,180
        40		    19,569		0,25		     0,219
        33		    20,753		0,30		     0,265
        28		    23,075		0,35		     0,323
        25		    23,577		0,40		     0,349
        22		    26,091		0,45		     0,403
        20		    27,501		0,50		     0,440
        18		    30,385		0,55		     0,482
        16		    33,929		0,60		     0,545
        15		    36,044		0,65		     0,568
        14		    40,902		0,70		     0,624
        13		    43,261		0,75		     0,653
        12		    49,122		0,80		     0,701
        11		    54,520		0,85		     0,722
        11		    55,212		0,90		     0,729
        10		    63,543		0,95		     0,774
