       200		    17,012		0,05		     0,045
       100		    18,176		0,10		     0,090
        66		    19,618		0,15		     0,137
        50		    20,881		0,20		     0,184
        40		    21,804		0,25		     0,219
        33		    23,266		0,30		     0,263
        28		    25,590		0,35		     0,318
        25		    27,484		0,40		     0,361
        22		    29,303		0,45		     0,407
        20		    30,953		0,50		     0,436
        18		    33,273		0,55		     0,485
        16		    37,763		0,60		     0,541
        15		    39,613		0,65		     0,564
        14		    43,556		0,70		     0,606
        13		    49,379		0,75		     0,657
        12		    53,486		0,80		     0,687
        11		    60,467		0,85		     0,730
        11		    62,825		0,90		     0,729
        10		    73,293		0,95		     0,746
