       200		    17,045		0,05		     0,045
       100		    18,079		0,10		     0,089
        66		    19,244		0,15		     0,133
        50		    20,818		0,20		     0,181
        40		    22,451		0,25		     0,222
        33		    23,695		0,30		     0,270
        28		    25,724		0,35		     0,316
        25		    26,716		0,40		     0,350
        22		    29,023		0,45		     0,398
        20		    31,838		0,50		     0,439
        18		    33,659		0,55		     0,478
        16		    37,886		0,60		     0,536
        15		    40,917		0,65		     0,577
        14		    44,349		0,70		     0,615
        13		    50,842		0,75		     0,655
        12		    53,155		0,80		     0,689
